"event","elapsed_s","wallclock","pid","name"
"spawn","0.007","2026-06-04T21:01:50.3994316+06:00","37708","backgroundTaskHost.exe"
"spawn","0.007","2026-06-04T21:01:50.3994316+06:00","32904","backgroundTaskHost.exe"
"spawn","0.007","2026-06-04T21:01:50.3994316+06:00","31220","notepad++.exe"
"spawn","0.007","2026-06-04T21:01:50.3994316+06:00","24912","backgroundTaskHost.exe"
"spawn","0.007","2026-06-04T21:01:50.3994316+06:00","30756","BridgeTest.exe"
"spawn","0.007","2026-06-04T21:01:50.3994316+06:00","22716","BridgeHandler.exe"
"spawn","0.007","2026-06-04T21:01:50.3994316+06:00","30960","backgroundTaskHost.exe"
"spawn","1.774","2026-06-04T21:01:52.1661497+06:00","25252","BridgeHandler.exe"
"exit","2.306","2026-06-04T21:01:52.6980834+06:00","25252","BridgeHandler.exe"
"spawn","2.872","2026-06-04T21:01:53.2643528+06:00","35096","BridgeHandler.exe"
"exit","3.372","2026-06-04T21:01:53.7646811+06:00","35096","BridgeHandler.exe"
"spawn","6.735","2026-06-04T21:01:57.1279733+06:00","24320","BridgeHandler.exe"
"exit","7.304","2026-06-04T21:01:57.6968869+06:00","24320","BridgeHandler.exe"
"spawn","7.857","2026-06-04T21:01:58.2494717+06:00","24348","BridgeHandler.exe"
"exit","8.387","2026-06-04T21:01:58.7799664+06:00","24348","BridgeHandler.exe"
"spawn","12.813","2026-06-04T21:02:03.2054863+06:00","35004","BridgeHandler.exe"
"exit","13.346","2026-06-04T21:02:03.7388641+06:00","35004","BridgeHandler.exe"
"spawn","13.913","2026-06-04T21:02:04.3057069+06:00","28036","BridgeHandler.exe"
"exit","14.414","2026-06-04T21:02:04.8063819+06:00","28036","BridgeHandler.exe"
"spawn","17.772","2026-06-04T21:02:08.1645443+06:00","25468","BridgeHandler.exe"
"exit","18.339","2026-06-04T21:02:08.7316695+06:00","25468","BridgeHandler.exe"
"spawn","18.878","2026-06-04T21:02:09.2700800+06:00","33268","BridgeHandler.exe"
"exit","19.387","2026-06-04T21:02:09.7798528+06:00","33268","BridgeHandler.exe"
"spawn","22.731","2026-06-04T21:02:13.1234274+06:00","25320","BridgeHandler.exe"
"exit","23.33","2026-06-04T21:02:13.7224076+06:00","25320","BridgeHandler.exe"
"spawn","23.921","2026-06-04T21:02:14.3134311+06:00","32024","BridgeHandler.exe"
"exit","24.433","2026-06-04T21:02:14.8256486+06:00","32024","BridgeHandler.exe"
"spawn","27.757","2026-06-04T21:02:18.1491993+06:00","1420","BridgeHandler.exe"
"exit","28.307","2026-06-04T21:02:18.6990374+06:00","1420","BridgeHandler.exe"
"spawn","28.824","2026-06-04T21:02:19.2161975+06:00","30560","BridgeHandler.exe"
"exit","29.356","2026-06-04T21:02:19.7488445+06:00","30560","BridgeHandler.exe"
"spawn","29.906","2026-06-04T21:02:20.2980552+06:00","29316","BridgeHandler.exe"
"exit","30.412","2026-06-04T21:02:20.8047163+06:00","29316","BridgeHandler.exe"
"spawn","33.721","2026-06-04T21:02:24.1137664+06:00","18048","BridgeHandler.exe"
"exit","34.279","2026-06-04T21:02:24.6719822+06:00","18048","BridgeHandler.exe"
