"elapsed_s","wallclock","live_proc_count","cpu_pct_onecore","cpu_pct_machine"
"0.007","2026-06-04T21:01:50.3994316+06:00","7","0","0"
"0.603","2026-06-04T21:01:50.9957959+06:00","7","0","0"
"1.189","2026-06-04T21:01:51.5812477+06:00","7","0","0"
"1.774","2026-06-04T21:01:52.1661497+06:00","8","0","0"
"2.306","2026-06-04T21:01:52.6980834+06:00","7","0","0"
"2.872","2026-06-04T21:01:53.2643528+06:00","8","2.759","0.345"
"3.372","2026-06-04T21:01:53.7646811+06:00","7","0","0"
"3.938","2026-06-04T21:01:54.3307636+06:00","7","0","0"
"4.439","2026-06-04T21:01:54.8312845+06:00","7","0","0"
"5.024","2026-06-04T21:01:55.4160759+06:00","7","0","0"
"5.557","2026-06-04T21:01:55.9491640+06:00","7","0","0"
"6.153","2026-06-04T21:01:56.5457362+06:00","7","0","0"
"6.735","2026-06-04T21:01:57.1279733+06:00","8","0","0"
"7.304","2026-06-04T21:01:57.6968869+06:00","7","0","0"
"7.857","2026-06-04T21:01:58.2494717+06:00","8","0","0"
"8.387","2026-06-04T21:01:58.7799664+06:00","7","0","0"
"8.93","2026-06-04T21:01:59.3228458+06:00","7","0","0"
"9.44","2026-06-04T21:01:59.8328492+06:00","7","0","0"
"10.006","2026-06-04T21:02:00.3988632+06:00","7","0","0"
"10.555","2026-06-04T21:02:00.9477625+06:00","7","0","0"
"11.088","2026-06-04T21:02:01.4807035+06:00","7","0","0"
"11.698","2026-06-04T21:02:02.0901235+06:00","7","0","0"
"12.246","2026-06-04T21:02:02.6384381+06:00","7","0","0"
"12.813","2026-06-04T21:02:03.2054863+06:00","8","0","0"
"13.346","2026-06-04T21:02:03.7388641+06:00","7","0","0"
"13.913","2026-06-04T21:02:04.3057069+06:00","8","0","0"
"14.414","2026-06-04T21:02:04.8063819+06:00","7","0","0"
"14.98","2026-06-04T21:02:05.3722628+06:00","7","0","0"
"15.514","2026-06-04T21:02:05.9067680+06:00","7","0","0"
"16.08","2026-06-04T21:02:06.4722630+06:00","7","0","0"
"16.655","2026-06-04T21:02:07.0480219+06:00","7","0","0"
"17.237","2026-06-04T21:02:07.6297855+06:00","7","0","0"
"17.772","2026-06-04T21:02:08.1645443+06:00","8","0","0"
"18.339","2026-06-04T21:02:08.7316695+06:00","7","0","0"
"18.878","2026-06-04T21:02:09.2700800+06:00","8","0","0"
"19.387","2026-06-04T21:02:09.7798528+06:00","7","0","0"
"19.953","2026-06-04T21:02:10.3459218+06:00","7","0","0"
"20.463","2026-06-04T21:02:10.8555420+06:00","7","0","0"
"21.015","2026-06-04T21:02:11.4076807+06:00","7","0","0"
"21.547","2026-06-04T21:02:11.9391337+06:00","7","0","0"
"22.081","2026-06-04T21:02:12.4737035+06:00","7","0","0"
"22.731","2026-06-04T21:02:13.1234274+06:00","8","4.81","0.601"
"23.33","2026-06-04T21:02:13.7224076+06:00","7","0","0"
"23.921","2026-06-04T21:02:14.3134311+06:00","8","2.644","0.33"
"24.433","2026-06-04T21:02:14.8256486+06:00","7","0","0"
"25.005","2026-06-04T21:02:15.3972101+06:00","7","0","0"
"25.522","2026-06-04T21:02:15.9148970+06:00","7","0","0"
"26.114","2026-06-04T21:02:16.5068875+06:00","7","0","0"
"26.646","2026-06-04T21:02:17.0388346+06:00","7","0","0"
"27.221","2026-06-04T21:02:17.6131466+06:00","7","0","0"
"27.757","2026-06-04T21:02:18.1491993+06:00","8","2.915","0.364"
"28.307","2026-06-04T21:02:18.6990374+06:00","7","0","0"
"28.824","2026-06-04T21:02:19.2161975+06:00","8","0","0"
"29.356","2026-06-04T21:02:19.7488445+06:00","7","0","0"
"29.906","2026-06-04T21:02:20.2980552+06:00","8","5.69","0.711"
"30.412","2026-06-04T21:02:20.8047163+06:00","7","0","0"
"30.961","2026-06-04T21:02:21.3540089+06:00","7","0","0"
"31.479","2026-06-04T21:02:21.8716568+06:00","7","0","0"
"32.048","2026-06-04T21:02:22.4401536+06:00","7","0","0"
"32.598","2026-06-04T21:02:22.9906709+06:00","7","0","0"
"33.131","2026-06-04T21:02:23.5230630+06:00","7","0","0"
"33.721","2026-06-04T21:02:24.1137664+06:00","8","0","0"
"34.279","2026-06-04T21:02:24.6719822+06:00","7","0","0"
"34.864","2026-06-04T21:02:25.2565079+06:00","8","0","0"
"35.363","2026-06-04T21:02:25.7556689+06:00","7","0","0"
"35.938","2026-06-04T21:02:26.3302744+06:00","7","0","0"
"36.438","2026-06-04T21:02:26.8306804+06:00","7","0","0"
"36.963","2026-06-04T21:02:27.3558786+06:00","7","0","0"
"37.472","2026-06-04T21:02:27.8641923+06:00","7","0","0"
"38.065","2026-06-04T21:02:28.4575055+06:00","7","0","0"
"38.624","2026-06-04T21:02:29.0167953+06:00","7","0","0"
"39.222","2026-06-04T21:02:29.6140517+06:00","7","0","0"
"39.77","2026-06-04T21:02:30.1626180+06:00","8","0","0"
"40.321","2026-06-04T21:02:30.7136078+06:00","7","0","0"
"40.856","2026-06-04T21:02:31.2480490+06:00","8","0","0"
"41.364","2026-06-04T21:02:31.7561032+06:00","7","0","0"
"41.913","2026-06-04T21:02:32.3051891+06:00","7","0","0"
"42.431","2026-06-04T21:02:32.8231098+06:00","7","0","0"
"43.013","2026-06-04T21:02:33.4052790+06:00","7","0","0"
"43.58","2026-06-04T21:02:33.9730088+06:00","7","0","0"
"44.164","2026-06-04T21:02:34.5563372+06:00","7","0","0"
"44.779","2026-06-04T21:02:35.1719703+06:00","8","0","0"
"45.312","2026-06-04T21:02:35.7042792+06:00","7","0","0"
"45.879","2026-06-04T21:02:36.2719506+06:00","8","0","0"
"46.38","2026-06-04T21:02:36.7725269+06:00","7","0","0"
"46.946","2026-06-04T21:02:37.3388942+06:00","7","0","0"
"47.447","2026-06-04T21:02:37.8396126+06:00","7","0","0"
"48.046","2026-06-04T21:02:38.4386302+06:00","7","0","0"
"48.613","2026-06-04T21:02:39.0052632+06:00","7","0","0"
"49.181","2026-06-04T21:02:39.5732753+06:00","7","0","0"
"49.779","2026-06-04T21:02:40.1718599+06:00","8","0","0"
"50.33","2026-06-04T21:02:40.7221610+06:00","7","0","0"
"50.897","2026-06-04T21:02:41.2899103+06:00","8","0","0"
"51.411","2026-06-04T21:02:41.8038712+06:00","7","0","0"
"51.931","2026-06-04T21:02:42.3232419+06:00","7","0","0"
"52.415","2026-06-04T21:02:42.8073928+06:00","7","0","0"
"52.968","2026-06-04T21:02:43.3610075+06:00","7","0","0"
"53.48","2026-06-04T21:02:43.8728627+06:00","7","0","0"
"54.063","2026-06-04T21:02:44.4557587+06:00","7","0","0"
"54.631","2026-06-04T21:02:45.0230722+06:00","7","0","0"
"55.165","2026-06-04T21:02:45.5572485+06:00","7","0","0"
"55.746","2026-06-04T21:02:46.1385366+06:00","8","0","0"
"56.28","2026-06-04T21:02:46.6728555+06:00","7","0","0"
"56.846","2026-06-04T21:02:47.2386880+06:00","8","0","0"
"57.344","2026-06-04T21:02:47.7367624+06:00","7","0","0"
"57.914","2026-06-04T21:02:48.3066577+06:00","8","0","0"
"58.413","2026-06-04T21:02:48.8058506+06:00","7","0","0"
"58.996","2026-06-04T21:02:49.3883821+06:00","7","0","0"
"59.513","2026-06-04T21:02:49.9050909+06:00","7","0","0"
"60.081","2026-06-04T21:02:50.4735780+06:00","7","0","0"
"60.63","2026-06-04T21:02:51.0221043+06:00","7","0","0"
"61.212","2026-06-04T21:02:51.6048292+06:00","7","0","0"
"61.78","2026-06-04T21:02:52.1728632+06:00","8","0","0"
"62.296","2026-06-04T21:02:52.6881353+06:00","7","0","0"
"62.815","2026-06-04T21:02:53.2070592+06:00","8","0","0"
"63.329","2026-06-04T21:02:53.7217174+06:00","7","0","0"
"63.863","2026-06-04T21:02:54.2555173+06:00","8","0","0"
"64.351","2026-06-04T21:02:54.7430362+06:00","7","0","0"
"64.903","2026-06-04T21:02:55.2952786+06:00","8","0","0"
"65.412","2026-06-04T21:02:55.8044943+06:00","7","0","0"
"65.965","2026-06-04T21:02:56.3570957+06:00","7","0","0"
"66.462","2026-06-04T21:02:56.8550226+06:00","7","0","0"
"67.015","2026-06-04T21:02:57.4078536+06:00","7","0","0"
"67.562","2026-06-04T21:02:57.9548800+06:00","7","0","0"
"68.096","2026-06-04T21:02:58.4882558+06:00","7","0","0"
"68.664","2026-06-04T21:02:59.0568156+06:00","7","0","0"
"69.211","2026-06-04T21:02:59.6037029+06:00","7","0","0"
"69.762","2026-06-04T21:03:00.1548881+06:00","8","0","0"
"70.279","2026-06-04T21:03:00.6716171+06:00","7","0","0"
"70.863","2026-06-04T21:03:01.2558835+06:00","8","0","0"
"71.348","2026-06-04T21:03:01.7401011+06:00","7","0","0"
"71.928","2026-06-04T21:03:02.3209791+06:00","7","0","0"
"72.413","2026-06-04T21:03:02.8057494+06:00","7","0","0"
"72.962","2026-06-04T21:03:03.3542195+06:00","7","0","0"
"73.448","2026-06-04T21:03:03.8401013+06:00","7","0","0"
"74.029","2026-06-04T21:03:04.4215389+06:00","7","0","0"
"74.563","2026-06-04T21:03:04.9555649+06:00","7","0","0"
"75.149","2026-06-04T21:03:05.5412381+06:00","7","0","0"
"75.679","2026-06-04T21:03:06.0715910+06:00","7","0","0"
"76.229","2026-06-04T21:03:06.6217579+06:00","7","0","0"
"76.748","2026-06-04T21:03:07.1404108+06:00","8","0","0"
"77.313","2026-06-04T21:03:07.7051288+06:00","7","0","0"
"77.847","2026-06-04T21:03:08.2395517+06:00","8","0","0"
"78.363","2026-06-04T21:03:08.7555673+06:00","7","0","0"
"78.898","2026-06-04T21:03:09.2902653+06:00","8","0","0"
"79.396","2026-06-04T21:03:09.7889105+06:00","7","0","0"
"79.958","2026-06-04T21:03:10.3508207+06:00","7","0","0"
"80.479","2026-06-04T21:03:10.8716317+06:00","7","0","0"
"81.046","2026-06-04T21:03:11.4380519+06:00","7","0","0"
"81.593","2026-06-04T21:03:11.9858506+06:00","7","0","0"
"82.111","2026-06-04T21:03:12.5032929+06:00","7","0","0"
"82.698","2026-06-04T21:03:13.0901668+06:00","7","0","0"
"83.229","2026-06-04T21:03:13.6217445+06:00","7","0","0"
"83.779","2026-06-04T21:03:14.1714817+06:00","8","0","0"
"84.311","2026-06-04T21:03:14.7035302+06:00","7","0","0"
"84.863","2026-06-04T21:03:15.2555472+06:00","8","0","0"
"85.363","2026-06-04T21:03:15.7554943+06:00","7","0","0"
"85.912","2026-06-04T21:03:16.3042166+06:00","8","0","0"
"86.396","2026-06-04T21:03:16.7889487+06:00","7","0","0"
"86.943","2026-06-04T21:03:17.3357813+06:00","7","0","0"
"87.429","2026-06-04T21:03:17.8213742+06:00","7","0","0"
"88.011","2026-06-04T21:03:18.4031358+06:00","7","0","0"
"88.53","2026-06-04T21:03:18.9230235+06:00","7","0","0"
"89.113","2026-06-04T21:03:19.5057154+06:00","7","0","0"
"89.688","2026-06-04T21:03:20.0802766+06:00","7","0","0"
